amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type
AMR-A-3,T77,dropoff,2026-01-01 11:53:28,2026-01-01 11:53:48,,,,,,,,,,,completed,24808.045,2026-01-01 11:53:28,segment_dropoff,food_trolley,,KITCHEN,CARDIO-DELIVERYAREA,,20.0,0.0,0.0,0.0,0.0,"{""type"": ""dropoff"", ""location"": ""CARDIO-DELIVERYAREA"", ""duration"": 20.0, ""from_x"": null, ""from_y"": null, ""to_x"": null, ""to_y"": null, ""from_floor"": null, ""to_floor"": null}",,,,0.0,
AMR-A-11,T78,,2026-01-01 11:45:00,2026-01-01 11:45:01,,,AMR-CENTRE,ELECTIVE-WARD-DELIVERYAREA,,,,,,,start,24300.0,2026-01-01 11:45:00,task_assigned,food_trolley,,KITCHEN,ELECTIVE-WARD-DELIVERYAREA,,0.0,0.0,0.0,0.0,545.832,Assigned task to AMR-A-11,,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:45:00,2026-01-01 11:45:19,AMR-CENTRE,AMR-CENTRE,,,157.36,-81.619,2,157.36,-81.619,2,waiting,24300.0,2026-01-01 11:45:00,segment_wait,food_trolley,,AMR-CENTRE,AMR-CENTRE,,19.346,19.346,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""AMR-CENTRE"", ""to"": ""AMR-CENTRE"", ""duration"": 19.345958887566667, ""distance_m"": 0.0, ""congestion_count"": 10}",,,,0.0,
AMR-A-11,T78,wait_for_node,2026-01-01 11:45:19,2026-01-01 11:45:23,C2-11,C2-11,,,157.38,-84.803,2,157.38,-84.803,2,waiting,24319.346,2026-01-01 11:45:19,segment_wait,food_trolley,,C2-11,C2-11,,4.535,4.535,0.0,0.0,0.0,"{""type"": ""wait_for_node"", ""from"": ""C2-11"", ""to"": ""C2-11"", ""duration"": 4.535134613881382, ""distance_m"": 0.0, ""congestion_count"": 10}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:45:23,2026-01-01 11:45:29,AMR-CENTRE,C2-11,,,157.36,-81.619,2,157.38,-84.803,2,completed,24323.881,2026-01-01 11:45:23,segment_corridor,food_trolley,,AMR-CENTRE,C2-11,,5.896,0.0,3.184,0.0,0.0,"{""type"": ""corridor"", ""from"": ""AMR-CENTRE"", ""to"": ""C2-11"", ""duration"": 5.8964126175014115, ""distance_m"": 3.1840628134507623, ""speed_factor"": 0.45, ""congestion_count"": 10, ""from_x"": 157.36, ""from_y"": -81.619, ""to_x"": 157.38, ""to_y"": -84.803, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:45:29,2026-01-01 11:45:33,C2-11,C2-11,,,157.38,-84.803,2,157.38,-84.803,2,waiting,24329.778,2026-01-01 11:45:29,segment_wait,food_trolley,,C2-11,C2-11,,3.469,3.469,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""C2-11"", ""to"": ""C2-11"", ""duration"": 3.468719972523104, ""distance_m"": 0.0, ""congestion_count"": 10}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:45:33,2026-01-01 11:45:43,C2-11,C2-10,,,157.38,-84.803,2,151.747,-84.823,2,completed,24333.246,2026-01-01 11:45:33,segment_corridor,food_trolley,,C2-11,C2-10,,10.432,0.0,5.633,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-11"", ""to"": ""C2-10"", ""duration"": 10.431547231384366, ""distance_m"": 5.633035504947558, ""speed_factor"": 0.45, ""congestion_count"": 10, ""from_x"": 157.38, ""from_y"": -84.803, ""to_x"": 151.747, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:45:43,2026-01-01 11:45:53,C2-10,C2-22,,,151.747,-84.823,2,146.298,-84.823,2,completed,24343.678,2026-01-01 11:45:43,segment_corridor,food_trolley,,C2-10,C2-22,,10.091,0.0,5.449,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-10"", ""to"": ""C2-22"", ""duration"": 10.090740740740765, ""distance_m"": 5.449000000000012, ""speed_factor"": 0.45, ""congestion_count"": 9, ""from_x"": 151.747, ""from_y"": -84.823, ""to_x"": 146.298, ""to_y"": -84.823, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:45:53,2026-01-01 11:45:54,C2-22,C2-22,,,146.298,-84.823,2,146.298,-84.823,2,waiting,24353.769,2026-01-01 11:45:53,segment_wait,food_trolley,,C2-22,C2-22,,0.5,0.5,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""C2-22"", ""to"": ""C2-22"", ""duration"": 0.4997596618850366, ""distance_m"": 0.0, ""congestion_count"": 8}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:45:54,2026-01-01 11:46:04,C2-22,C2-12,,,146.298,-84.823,2,140.54,-85.162,2,completed,24354.268,2026-01-01 11:45:54,segment_corridor,food_trolley,,C2-22,C2-12,,10.681,0.0,5.768,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-22"", ""to"": ""C2-12"", ""duration"": 10.68142706232608, ""distance_m"": 5.767970613656082, ""speed_factor"": 0.45, ""congestion_count"": 8, ""from_x"": 146.298, ""from_y"": -84.823, ""to_x"": 140.54, ""to_y"": -85.162, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
