amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,payload_instance_id,payload_slot,onboard_payloads,onboard_slots,multi_stop_task_ids,multi_stop_pickup_count,multi_stop_dropoff_count,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type,pending_reason,tracked_item_exchange,exchange_mode,tracked_item_source_payload,tracked_items
,GEN_CATERING_D37_00022,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D37-CATERING_2,,,139.474,-129.443,2,140.71,-46.513,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D37_00022-000022,,[],[],[],0,0,,D28-CATERING,D37-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D37,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D38_00023,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D38-CATERING,,,139.474,-129.443,2,183.324,-91.637,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D38_00023-000023,,[],[],[],0,0,,D28-CATERING,D38-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D38,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D39_00024,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D39-CATERING,,,139.474,-129.443,2,180.712,-138.895,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D39_00024-000024,,[],[],[],0,0,,D28-CATERING,D39-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D39,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D39_00025,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D39-CATERING_2,,,139.474,-129.443,2,210.544,-134.712,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D39_00025-000025,,[],[],[],0,0,,D28-CATERING,D39-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D39,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D40_00026,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D40-CATERING,,,139.474,-129.443,2,140.089,-208.759,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D40_00026-000026,,[],[],[],0,0,,D28-CATERING,D40-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D40,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D40_00027,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D40-CATERING_2,,,139.474,-129.443,2,135.827,-178.954,4,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D40_00027-000027,,[],[],[],0,0,,D28-CATERING,D40-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D40,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D41_00028,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D41-CATERING,,,139.474,-129.443,2,48.0,-87.0,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D41_00028-000028,,[],[],[],0,0,,D28-CATERING,D41-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D41,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D41_00029,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D41-CATERING_2,,,139.474,-129.443,2,18.0,-91.0,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D41_00029-000029,,[],[],[],0,0,,D28-CATERING,D41-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D41,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D42_00030,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D42-CATERING,,,139.474,-129.443,2,89.292,-16.787,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D42_00030-000030,,[],[],[],0,0,,D28-CATERING,D42-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D42,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D42_00031,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D42-CATERING_2,,,139.474,-129.443,2,93.381,-46.645,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D42_00031-000031,,[],[],[],0,0,,D28-CATERING,D42-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D42,,0.0,Burlodge Trolley,,False,,,{}
