amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,payload_instance_id,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type,pending_reason,tracked_item_exchange,exchange_mode,tracked_item_source_payload,tracked_items
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:01:51,2026-01-01 08:02:03,C0-76,C0-77,,,172.268,-93.202,0,160.201,-93.062,0,completed,10911.285,2026-01-01 08:01:51,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-76,C0-77,,11.831,0.0,12.068,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-76"", ""to"": ""C0-77"", ""duration"": 11.831188338170938, ""distance_m"": 12.067812104934356, ""speed_factor"": 0.85, ""congestion_count"": 1, ""from_x"": 172.268, ""from_y"": -93.202, ""to_x"": 160.201, ""to_y"": -93.062, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:03,2026-01-01 08:02:10,C0-77,C0-78,,,160.201,-93.062,0,151.853,-93.062,0,completed,10923.117,2026-01-01 08:02:03,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-77,C0-78,,6.957,0.0,8.348,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-77"", ""to"": ""C0-78"", ""duration"": 6.956666666666655, ""distance_m"": 8.347999999999985, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 160.201, ""from_y"": -93.062, ""to_x"": 151.853, ""to_y"": -93.062, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:10,2026-01-01 08:02:17,C0-78,C0-9,,,151.853,-93.062,0,151.815,-84.679,0,completed,10930.073,2026-01-01 08:02:10,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-78,C0-9,,6.986,0.0,8.383,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-78"", ""to"": ""C0-9"", ""duration"": 6.9859051052021055, ""distance_m"": 8.383086126242526, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 151.853, ""from_y"": -93.062, ""to_x"": 151.815, ""to_y"": -84.679, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:17,2026-01-01 08:02:24,C0-9,C0-8,,,151.815,-84.679,0,151.852,-75.529,0,completed,10937.059,2026-01-01 08:02:17,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-9,C0-8,,7.625,0.0,9.15,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-9"", ""to"": ""C0-8"", ""duration"": 7.625062340364472, ""distance_m"": 9.150074808437367, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 151.815, ""from_y"": -84.679, ""to_x"": 151.852, ""to_y"": -75.529, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:24,2026-01-01 08:02:32,C0-8,C0-19,,,151.852,-75.529,0,142.653,-75.648,0,completed,10944.684,2026-01-01 08:02:24,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-8,C0-19,,7.666,0.0,9.2,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-8"", ""to"": ""C0-19"", ""duration"": 7.666474725858188, ""distance_m"": 9.199769671029825, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 151.852, ""from_y"": -75.529, ""to_x"": 142.653, ""to_y"": -75.648, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:32,2026-01-01 08:02:40,C0-19,C0-114,,,142.653,-75.648,0,142.686,-66.414,0,completed,10952.351,2026-01-01 08:02:32,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-19,C0-114,,7.695,0.0,9.234,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-19"", ""to"": ""C0-114"", ""duration"": 7.695049138894432, ""distance_m"": 9.234058966673318, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 142.653, ""from_y"": -75.648, ""to_x"": 142.686, ""to_y"": -66.414, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:40,2026-01-01 08:02:45,C0-114,C0-24,,,142.686,-66.414,0,142.764,-59.64,0,completed,10960.046,2026-01-01 08:02:40,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-114,C0-24,,5.645,0.0,6.774,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-114"", ""to"": ""C0-24"", ""duration"": 5.645374212574398, ""distance_m"": 6.774449055089278, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 142.686, ""from_y"": -66.414, ""to_x"": 142.764, ""to_y"": -59.64, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:02:45,2026-01-01 08:03:15,C0-24,C0-25,,,142.764,-59.64,0,107.222,-59.537,0,completed,10965.691,2026-01-01 08:02:45,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-24,C0-25,,29.618,0.0,35.542,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-24"", ""to"": ""C0-25"", ""duration"": 29.618457704707655, ""distance_m"": 35.542149245649185, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 142.764, ""from_y"": -59.64, ""to_x"": 107.222, ""to_y"": -59.537, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:03:15,2026-01-01 08:03:40,C0-25,C0-26,,,107.222,-59.537,0,77.299,-59.51,0,completed,10995.31,2026-01-01 08:03:15,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-25,C0-26,,24.936,0.0,29.923,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-25"", ""to"": ""C0-26"", ""duration"": 24.935843484385632, ""distance_m"": 29.923012181262756, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 107.222, ""from_y"": -59.537, ""to_x"": 77.299, ""to_y"": -59.51, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00001,corridor,2026-01-01 08:03:40,2026-01-01 08:03:46,C0-26,C0-110,,,77.299,-59.51,0,77.397,-66.863,0,completed,11020.245,2026-01-01 08:03:40,segment_corridor,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00001-000002,,C0-26,C0-110,,6.128,0.0,7.354,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C0-26"", ""to"": ""C0-110"", ""duration"": 6.12804419814711, ""distance_m"": 7.353653037776533, ""speed_factor"": 1.0, ""congestion_count"": 0, ""from_x"": 77.299, ""from_y"": -59.51, ""to_x"": 77.397, ""to_y"": -66.863, ""from_floor"": 0, ""to_floor"": 0}",,,,0.0,,,False,,,{}
